date/time	script	user	action	table	field	key value	old value	new value
2019-10-07 13:39:08	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	OrderDate	104		2019-10-07
2019-10-07 13:39:08	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	InvoiceNo	104		
2019-10-07 13:39:08	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	CusomterOrderNo	104		0305E19X05
2019-10-07 13:39:08	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	ID_Contact	104		88
2019-10-07 13:39:08	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	CreateUser	104		ASGBN
2019-10-07 13:39:08	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	CreateDate	104		2019-10-07 13:37:38
2019-10-07 13:39:08	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	ID_Order	104		104
2019-10-07 13:39:08	/asgbn_wh/tbl_orderadd.php	6	*** Batch insert begin ***	tbl_orderdetail				
2019-10-07 13:39:08	/asgbn_wh/tbl_orderadd.php	6	A	tbl_orderdetail	Code	137		8619A444
2019-10-07 13:39:08	/asgbn_wh/tbl_orderadd.php	6	A	tbl_orderdetail	PCS	137		1
2019-10-07 13:39:08	/asgbn_wh/tbl_orderadd.php	6	A	tbl_orderdetail	ID_Order	137		104
2019-10-07 13:39:08	/asgbn_wh/tbl_orderadd.php	6	A	tbl_orderdetail	ID_Detail	137		137
2019-10-07 13:39:08	/asgbn_wh/tbl_orderadd.php	6	*** Batch insert successful ***	tbl_orderdetail				
2019-10-07 13:39:11	/asgbn_wh/tbl_guiderlist.php	6	*** Batch update begin ***	tbl_guider				
2019-10-07 13:39:11	/asgbn_wh/tbl_guiderlist.php	6	*** Batch update successful ***	tbl_guider				
2019-10-07 13:40:43	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	OrderDate	105		2019-10-07
2019-10-07 13:40:43	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	InvoiceNo	105		
2019-10-07 13:40:43	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	CusomterOrderNo	105		0305E19X05
2019-10-07 13:40:43	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	ID_Contact	105		88
2019-10-07 13:40:43	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	CreateUser	105		ASGBN
2019-10-07 13:40:43	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	CreateDate	105		2019-10-07 13:39:39
2019-10-07 13:40:43	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	ID_Order	105		105
2019-10-07 13:40:43	/asgbn_wh/tbl_orderadd.php	6	*** Batch insert begin ***	tbl_orderdetail				
2019-10-07 13:40:43	/asgbn_wh/tbl_orderadd.php	6	A	tbl_orderdetail	Code	138		MT144256
2019-10-07 13:40:43	/asgbn_wh/tbl_orderadd.php	6	A	tbl_orderdetail	PCS	138		2
2019-10-07 13:40:43	/asgbn_wh/tbl_orderadd.php	6	A	tbl_orderdetail	ID_Order	138		105
2019-10-07 13:40:43	/asgbn_wh/tbl_orderadd.php	6	A	tbl_orderdetail	ID_Detail	138		138
2019-10-07 13:40:43	/asgbn_wh/tbl_orderadd.php	6	*** Batch insert successful ***	tbl_orderdetail				
2019-10-07 13:40:46	/asgbn_wh/tbl_guiderlist.php	6	*** Batch update begin ***	tbl_guider				
2019-10-07 13:40:46	/asgbn_wh/tbl_guiderlist.php	6	*** Batch update successful ***	tbl_guider				
2019-10-07 13:44:22	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	OrderDate	106		2019-10-07
2019-10-07 13:44:22	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	InvoiceNo	106		
2019-10-07 13:44:22	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	CusomterOrderNo	106		0108E19X08
2019-10-07 13:44:22	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	ID_Contact	106		65
2019-10-07 13:44:22	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	CreateUser	106		ASGBN
2019-10-07 13:44:22	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	CreateDate	106		2019-10-07 13:41:26
2019-10-07 13:44:22	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	ID_Order	106		106
2019-10-07 13:44:22	/asgbn_wh/tbl_orderadd.php	6	*** Batch insert begin ***	tbl_orderdetail				
2019-10-07 13:44:22	/asgbn_wh/tbl_orderadd.php	6	A	tbl_orderdetail	Code	139		6407A146
2019-10-07 13:44:22	/asgbn_wh/tbl_orderadd.php	6	A	tbl_orderdetail	PCS	139		2
2019-10-07 13:44:22	/asgbn_wh/tbl_orderadd.php	6	A	tbl_orderdetail	ID_Order	139		106
2019-10-07 13:44:22	/asgbn_wh/tbl_orderadd.php	6	A	tbl_orderdetail	ID_Detail	139		139
2019-10-07 13:44:22	/asgbn_wh/tbl_orderadd.php	6	*** Batch insert successful ***	tbl_orderdetail				
2019-10-07 13:44:25	/asgbn_wh/tbl_guiderlist.php	6	*** Batch update begin ***	tbl_guider				
2019-10-07 13:44:25	/asgbn_wh/tbl_guiderlist.php	6	*** Batch update successful ***	tbl_guider				
