date/time	script	user	action	table	field	key value	old value	new value
2019-10-25 13:19:15	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	OrderDate	141		2019-10-25
2019-10-25 13:19:15	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	InvoiceNo	141		
2019-10-25 13:19:15	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	CusomterOrderNo	141		0305E19X33
2019-10-25 13:19:15	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	ID_Contact	141		88
2019-10-25 13:19:15	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	CreateUser	141		ASGBN
2019-10-25 13:19:15	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	CreateDate	141		2019-10-25 13:18:00
2019-10-25 13:19:15	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	ID_Order	141		141
2019-10-25 13:19:15	/asgbn_wh/tbl_orderadd.php	6	*** Batch insert begin ***	tbl_orderdetail				
2019-10-25 13:19:15	/asgbn_wh/tbl_orderadd.php	6	A	tbl_orderdetail	Code	177		7632A794
2019-10-25 13:19:15	/asgbn_wh/tbl_orderadd.php	6	A	tbl_orderdetail	PCS	177		1
2019-10-25 13:19:15	/asgbn_wh/tbl_orderadd.php	6	A	tbl_orderdetail	ID_Order	177		141
2019-10-25 13:19:15	/asgbn_wh/tbl_orderadd.php	6	A	tbl_orderdetail	ID_Detail	177		177
2019-10-25 13:19:15	/asgbn_wh/tbl_orderadd.php	6	*** Batch insert successful ***	tbl_orderdetail				
2019-10-25 13:19:58	/asgbn_wh/tbl_guiderlist.php	6	*** Batch update begin ***	tbl_guider				
2019-10-25 13:19:58	/asgbn_wh/tbl_guiderlist.php	6	*** Batch update successful ***	tbl_guider				
2019-10-25 13:22:00	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	OrderDate	142		2019-10-25
2019-10-25 13:22:00	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	InvoiceNo	142		
2019-10-25 13:22:00	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	CusomterOrderNo	142		2001E19X14
2019-10-25 13:22:00	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	ID_Contact	142		71
2019-10-25 13:22:00	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	CreateUser	142		ASGBN
2019-10-25 13:22:00	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	CreateDate	142		2019-10-25 13:20:29
2019-10-25 13:22:00	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	ID_Order	142		142
2019-10-25 13:22:00	/asgbn_wh/tbl_orderadd.php	6	*** Batch insert begin ***	tbl_orderdetail				
2019-10-25 13:22:00	/asgbn_wh/tbl_orderadd.php	6	A	tbl_orderdetail	Code	178		MR418160
2019-10-25 13:22:00	/asgbn_wh/tbl_orderadd.php	6	A	tbl_orderdetail	PCS	178		4
2019-10-25 13:22:00	/asgbn_wh/tbl_orderadd.php	6	A	tbl_orderdetail	ID_Order	178		142
2019-10-25 13:22:00	/asgbn_wh/tbl_orderadd.php	6	A	tbl_orderdetail	ID_Detail	178		178
2019-10-25 13:22:00	/asgbn_wh/tbl_orderadd.php	6	*** Batch insert successful ***	tbl_orderdetail				
2019-10-25 13:22:07	/asgbn_wh/tbl_guiderlist.php	6	*** Batch update begin ***	tbl_guider				
2019-10-25 13:22:07	/asgbn_wh/tbl_guiderlist.php	6	*** Batch update successful ***	tbl_guider				
2019-10-25 13:23:06	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	OrderDate	143		2019-10-25
2019-10-25 13:23:06	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	InvoiceNo	143		
2019-10-25 13:23:06	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	CusomterOrderNo	143		2201S19X12
2019-10-25 13:23:06	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	ID_Contact	143		87
2019-10-25 13:23:06	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	CreateUser	143		ASGBN
2019-10-25 13:23:06	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	CreateDate	143		2019-10-25 13:22:22
2019-10-25 13:23:06	/asgbn_wh/tbl_orderadd.php	6	A	tbl_order	ID_Order	143		143
2019-10-25 13:23:06	/asgbn_wh/tbl_orderadd.php	6	*** Batch insert begin ***	tbl_orderdetail				
2019-10-25 13:23:06	/asgbn_wh/tbl_orderadd.php	6	A	tbl_orderdetail	Code	179		MZ320820
2019-10-25 13:23:06	/asgbn_wh/tbl_orderadd.php	6	A	tbl_orderdetail	PCS	179		120
2019-10-25 13:23:06	/asgbn_wh/tbl_orderadd.php	6	A	tbl_orderdetail	ID_Order	179		143
2019-10-25 13:23:06	/asgbn_wh/tbl_orderadd.php	6	A	tbl_orderdetail	ID_Detail	179		179
2019-10-25 13:23:06	/asgbn_wh/tbl_orderadd.php	6	*** Batch insert successful ***	tbl_orderdetail				
2019-10-25 13:24:47	/asgbn_wh/tbl_orderdelete.php	6	*** Batch delete begin ***	tbl_order				
2019-10-25 13:24:48	/asgbn_wh/tbl_orderdelete.php	6	D	tbl_order	ID_Order	143	143	
2019-10-25 13:24:48	/asgbn_wh/tbl_orderdelete.php	6	D	tbl_order	OrderDate	143	2019-10-25 00:00:00	
2019-10-25 13:24:48	/asgbn_wh/tbl_orderdelete.php	6	D	tbl_order	ID_Contact	143	87	
2019-10-25 13:24:48	/asgbn_wh/tbl_orderdelete.php	6	D	tbl_order	StatusLoad	143	0	
2019-10-25 13:24:48	/asgbn_wh/tbl_orderdelete.php	6	D	tbl_order	CreateUser	143	ASGBN	
2019-10-25 13:24:48	/asgbn_wh/tbl_orderdelete.php	6	D	tbl_order	CreateDate	143	2019-10-25 13:22:22	
2019-10-25 13:24:48	/asgbn_wh/tbl_orderdelete.php	6	D	tbl_order	UpdateUser	143		
2019-10-25 13:24:48	/asgbn_wh/tbl_orderdelete.php	6	D	tbl_order	UpdateDate	143		
2019-10-25 13:24:48	/asgbn_wh/tbl_orderdelete.php	6	D	tbl_order	StatusFinishOrder	143	0	
2019-10-25 13:24:48	/asgbn_wh/tbl_orderdelete.php	6	D	tbl_order	DateTimefinishOrder	143		
